Date,Time,ITemp,IHumidity,OTemp,OHumidity,Pressure
07.08.2021,18:36:16,25.20,46.90,25.05,44.31,1021.29
07.08.2021,19:36:21,24.60,47.10,24.47,44.59,1021.50
07.08.2021,20:36:26,23.60,46.30,23.45,44.01,1021.95
07.08.2021,21:36:31,23.50,49.30,23.30,46.45,1022.28
07.08.2021,22:36:36,23.90,48.40,23.78,45.60,1022.34
07.08.2021,23:36:41,24.00,48.30,23.91,45.52,1022.19
07.08.2021,24:36:46,24.00,48.10,23.88,45.41,1022.28
08.08.2021,01:36:51,24.00,48.30,23.82,45.56,1022.28
08.08.2021,02:36:56,23.90,48.40,23.71,45.63,1022.32
08.08.2021,03:37:01,23.70,48.40,23.59,45.62,1022.37
08.08.2021,04:37:06,23.60,48.30,23.45,45.57,1022.52
08.08.2021,05:37:10,23.50,48.50,23.34,45.76,1022.59
08.08.2021,06:37:15,23.70,48.80,23.51,46.07,1022.70
08.08.2021,07:37:20,23.90,49.50,23.72,46.41,1022.82
08.08.2021,08:37:25,24.20,48.50,24.03,45.69,1022.86
08.08.2021,09:37:30,24.30,47.00,24.21,44.41,1022.81
08.08.2021,10:37:35,24.40,47.20,24.26,44.70,1022.60
08.08.2021,11:37:40,24.60,47.70,24.41,45.03,1022.31
08.08.2021,12:37:45,24.70,47.90,24.58,45.40,1022.17
08.08.2021,13:37:50,24.90,48.70,24.71,45.66,1021.89
08.08.2021,14:37:55,25.10,49.30,24.97,46.27,1021.66
08.08.2021,15:38:00,25.50,49.00,25.31,46.23,1021.33
08.08.2021,16:38:05,25.60,47.00,25.59,44.50,1021.01
08.08.2021,17:38:09,25.50,45.30,25.48,42.50,1020.73
08.08.2021,18:38:14,25.50,48.50,25.45,45.53,1020.50
08.08.2021,19:38:19,25.50,48.10,25.42,44.99,1020.57
08.08.2021,20:38:24,25.50,47.90,25.41,44.90,1020.52
08.08.2021,21:38:29,25.30,46.40,25.23,43.68,1020.90
08.08.2021,22:38:34,25.10,46.50,25.04,43.74,1021.11
08.08.2021,23:38:39,24.90,46.60,24.83,43.75,1021.02
08.08.2021,24:38:44,24.80,47.60,24.70,44.64,1020.86
09.08.2021,01:38:49,24.60,47.50,24.53,44.53,1020.82
09.08.2021,02:38:54,24.40,45.90,24.26,43.26,1020.78
09.08.2021,03:38:59,24.10,45.40,23.99,42.84,1020.73
09.08.2021,04:39:04,23.80,44.80,23.72,42.44,1020.68
09.08.2021,05:39:09,23.60,44.90,23.51,42.53,1020.47
09.08.2021,06:39:14,23.50,45.40,23.42,43.07,1020.47
09.08.2021,07:39:18,23.90,46.00,23.79,43.34,1020.53
09.08.2021,08:39:23,24.20,46.00,24.12,43.56,1020.64
09.08.2021,09:39:28,24.40,45.40,24.31,42.90,1020.57
09.08.2021,10:39:33,24.50,44.70,24.38,42.30,1020.53
09.08.2021,11:39:38,24.60,44.70,24.49,42.28,1020.43
09.08.2021,12:39:43,24.70,45.10,24.65,42.63,1020.31
09.08.2021,13:39:48,25.00,45.80,24.85,43.22,1019.91
09.08.2021,14:39:53,25.30,46.00,25.14,43.85,1019.56
09.08.2021,15:39:58,25.50,46.40,25.38,44.10,1019.37
09.08.2021,16:40:03,25.50,45.90,25.49,43.20,1019.03
09.08.2021,17:40:08,25.50,41.10,25.49,38.83,1018.78
09.08.2021,18:40:13,25.50,43.30,25.46,41.06,1018.52
09.08.2021,19:40:18,25.60,46.50,25.57,43.85,1018.80
09.08.2021,20:40:22,25.60,47.80,25.57,44.66,1019.20
09.08.2021,21:40:27,25.60,48.50,25.58,45.29,1019.70
09.08.2021,22:40:32,25.60,49.20,25.58,45.95,1019.87
09.08.2021,23:40:37,25.50,49.20,25.41,45.71,1019.94
09.08.2021,24:40:42,25.30,49.20,25.20,45.78,1019.80
10.08.2021,01:40:47,25.10,49.70,25.01,46.24,1019.67
10.08.2021,02:40:52,24.90,50.60,24.80,47.06,1019.26
10.08.2021,03:40:57,24.70,51.10,24.66,47.42,1019.03
10.08.2021,04:41:02,24.60,51.40,24.48,47.73,1018.85
10.08.2021,05:41:07,24.50,51.70,24.33,48.00,1019.49
10.08.2021,06:41:12,24.50,52.10,24.39,48.39,1019.96
10.08.2021,07:41:17,24.70,52.60,24.60,48.61,1019.68
10.08.2021,08:41:21,24.90,52.50,24.78,48.61,1019.84
10.08.2021,09:41:26,24.90,52.10,24.82,48.24,1020.07
10.08.2021,10:41:31,25.00,52.60,24.83,48.58,1020.27
10.08.2021,11:41:36,25.10,52.10,25.03,48.16,1020.02
10.08.2021,12:41:41,25.20,52.00,25.17,48.09,1019.59
10.08.2021,13:41:46,25.50,51.70,25.41,47.55,1019.19
10.08.2021,14:41:51,25.70,51.60,25.61,47.47,1018.82
