Date,Time,ITemp,IHumidity,OTemp,OHumidity,Pressure
04.06.2021,12:29:53,25.00,46.40,24.54,45.61,1022.37
04.06.2021,13:29:58,24.10,48.30,23.96,46.40,1022.31
04.06.2021,14:30:03,24.10,48.80,23.95,46.73,1022.33
04.06.2021,15:30:08,24.20,49.40,23.97,47.23,1022.19
04.06.2021,16:30:13,24.10,49.60,23.92,47.38,1022.12
04.06.2021,17:30:18,24.10,49.60,23.89,47.41,1022.37
04.06.2021,18:30:22,24.00,49.80,23.77,47.49,1022.31
04.06.2021,19:30:27,23.80,50.00,23.57,47.64,1022.26
04.06.2021,20:30:32,23.60,52.20,23.43,49.42,1022.68
04.06.2021,21:30:37,23.70,53.10,23.52,50.01,1023.22
04.06.2021,22:30:42,23.60,52.60,23.49,49.63,1023.37
04.06.2021,23:30:47,23.70,52.40,23.49,49.45,1023.29
05.06.2021,00:30:52,23.50,52.20,23.27,49.31,1023.24
05.06.2021,01:30:57,23.20,52.00,23.05,49.14,1023.07
05.06.2021,02:31:02,23.10,52.10,22.88,49.18,1023.29
05.06.2021,03:31:07,22.90,52.00,22.71,49.15,1023.02
05.06.2021,04:31:12,22.80,51.90,22.57,49.09,1022.98
05.06.2021,05:31:16,22.60,51.80,22.42,49.02,1022.79
05.06.2021,06:31:21,22.60,51.70,22.35,48.99,1023.21
05.06.2021,07:31:26,22.60,51.80,22.33,49.05,1023.58
05.06.2021,08:31:31,22.60,51.40,22.43,48.66,1023.82
05.06.2021,09:31:36,22.80,51.00,22.61,48.17,1023.77
05.06.2021,10:31:41,22.90,51.20,22.71,48.57,1023.72
05.06.2021,11:31:46,22.90,49.10,22.62,47.25,1023.70
05.06.2021,12:31:51,22.30,45.30,22.10,43.32,1023.34
05.06.2021,13:31:56,22.30,42.20,22.06,40.89,1023.11
05.06.2021,14:32:01,22.70,43.00,22.42,41.97,1022.90
05.06.2021,15:32:06,23.20,38.20,22.97,38.18,1022.73
05.06.2021,16:32:10,23.00,40.80,22.75,40.22,1022.43
05.06.2021,17:32:15,23.10,40.80,22.83,39.87,1022.12
05.06.2021,18:32:20,23.10,41.60,22.91,40.79,1022.24
05.06.2021,19:32:25,23.20,43.10,23.02,41.81,1022.29
05.06.2021,20:32:30,23.20,44.70,23.06,43.21,1022.51
05.06.2021,21:32:35,23.50,46.80,23.26,44.82,1022.95
05.06.2021,22:32:40,23.50,46.90,23.32,44.91,1023.33
05.06.2021,23:32:45,23.50,47.40,23.31,45.38,1023.60
06.06.2021,00:32:50,23.50,48.10,23.31,46.00,1023.65
06.06.2021,01:32:55,23.40,48.30,23.22,46.03,1023.59
06.06.2021,02:33:00,23.30,48.30,23.09,46.04,1023.82
06.06.2021,03:33:04,23.10,48.40,22.94,46.14,1023.53
06.06.2021,04:33:09,23.00,48.50,22.81,46.16,1023.35
